"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","3000 to 3499","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","3000 to 3499","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3500 to 3999","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.1"
"2017","","England and Wales","","","3500 to 3999","All","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","3500 to 3999","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","1"
"2017","","England and Wales","","","3500 to 3999","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3500 to 3999","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3500 to 3999","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.1"
"2017","","England and Wales","","","3500 to 3999","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","3500 to 3999","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3500 to 3999","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.1"
"2017","","England and Wales","","","3500 to 3999","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","3500 to 3999","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3500 to 3999","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3500 to 3999","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3500 to 3999","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","4000 and over","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","4000 and over","All","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","4000 and over","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","4000 and over","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","4000 and over","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","4000 and over","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","4000 and over","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","4000 and over","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","4000 and over","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","1.3"
"2017","","England and Wales","","","4000 and over","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","4000 and over","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","Not stated","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","13"
"2017","","England and Wales","","","Not stated","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","6.2"
"2017","","England and Wales","","","Not stated","All","","Rate per 1,000 live births","Units","Undefined","K04000001","19.3"
"2017","","England and Wales","","","Not stated","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","20.9"
"2017","","England and Wales","","","Not stated","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","11.6"
"2017","","England and Wales","","","Not stated","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","32.5"
"2017","","England and Wales","","","Not stated","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","14.4"
"2017","","England and Wales","","","Not stated","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","5.7"
"2017","","England and Wales","","","Not stated","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","20.1"
"2017","","England and Wales","","","Not stated","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","11.4"
